DeviceType,SerialNumber,Imei
tablet,130125127936,351554690433009
tablet,130125127166,351554690417606
tablet,130125127340,351554690421087
tablet,130424125421,351554690156709
tablet,130524129522,351554690304721
tablet,130424125307,351554690154423
tablet,130524127717,351554690268629
tablet,130524128882,351554690291928
tablet,130524127914,351554690272563
tablet,130124125817,351554690116620
tablet,130524128620,351554690286688
tablet,130524125041,351554690215109
tablet,130124125831,351554690116901
tablet,130524127986,351554690274007
tablet,130524124133,351554690196945
tablet,130524128681,351554690287900
tablet,130524129153,351554690297347
tablet,130524123593,351554690186144
tablet,130524124066,351554690195608
tablet,130524125471,351554690223707
tablet,130524124075,351554690195780
tablet,130524124857,351554690211421
tablet,130124125244,351554690105169
tablet,130524123474,351554690183760
tablet,130524124275,351554690199782
tablet,130124125588,351554690112041
tablet,130524123586,351554690186003
tablet,130124124892,351554690098125
tablet,130524123857,351554690191425
tablet,130524123606,351554690186409
tablet,130524124669,351554690207668
tablet,130524124382,351554690201927
tablet,130524124584,351554690205969
tablet,130524123489,351554690184065
tablet,130524123458,351554690183448
tablet,130524124712,351554690208526
tablet,130524124319,351554690200663
tablet,130524123880,351554690191888
tablet,130524124332,351554690200929
tablet,130524124356,351554690201406
tablet,130524123649,351554690187266
tablet,130124125693,351554690114146
tablet,130524124551,351554690205308
tablet,130124125680,351554690113882
tablet,130124125770,351554690115689
tablet,130524125833,351554690230942
tablet,130524124340,351554690201083
tablet,130124125820,351554690116687
tablet,130524125576,351554690225801
tablet,130524124639,351554690207064
tablet,130524123622,351554690186722
tablet,130124125362,351554690107520
tablet,130124124874,351554690097762
tablet,130524124755,351554690209383
tablet,130524124673,351554690207742
tablet,130524125134,351554690216966
tablet,130524125840,351554690231080
tablet,130524125514,351554690224564
tablet,130524125083,351554690215943
tablet,130524124127,351554690196820
tablet,130524124241,351554690199105
tablet,130524124564,351554690205563
tablet,130524124175,351554690197786
tablet,130524124650,351554690207288
tablet,130524123748,351554690189247
tablet,130524124427,351554690202826
tablet,130524125657,351554690227427
tablet,130524125966,351554690233607
tablet,130524124681,351554690207908
tablet,130124123841,351554690077103
tablet,130524124748,351554690209243
tablet,130524123705,351554690188389
tablet,130124125813,351554690116547
tablet,130524124514,351554690204566
tablet,130524124470,351554690203683
tablet,130524124747,351554690209227
